state,territory,concat,grade,buildingGroup1,buildingGroup2,contentsGroup1,contentsGroup2,abcGroup1,abcGroup2
WI,All,WIAll,4,0.97,0.97,1,1,0.97,0.97
CA,All,CAAll,1,0.94,0.94,1,1,0.94,0.94
FL,All,FLAll,5,0.97,0.97,1,1,0.97,0.97
MN,All,MNAll,4,0.97,0.97,1,1,0.97,0.97
OK,All,OKAll,2,0.94,0.94,1,1,0.94,0.94
SD,All,SDAll,8,0.99,0.99,1,1,0.99,0.99
NJ,All,NJAll,6,0.97,0.97,1,1,0.97,0.97
VT,All,VTAll,8,0.99,0.99,1,1,0.99,0.99
CT,All,CTAll,Ungraded,1,1,1,1,1,1
MO,All,MOAll,Ungraded,1,1,1,1,1,1
ND,All,NDAll,1,0.94,0.94,1,1,0.94,0.94
NY,All,NYAll,4,0.97,0.97,1,1,0.97,0.97
KY,All,KYAll,6,0.97,0.97,1,1,0.97,0.97
DC,All,DCAll,10,1,1,1,1,1,1
MS,All,MSAll,2,0.94,0.94,1,1,0.94,0.94
MS,All,MSAll,Ungraded,1,1,1,1,1,1
OK,All,OKAll,4,0.97,0.97,1,1,0.97,0.97
IL,All,ILAll,1,0.94,0.94,1,1,0.94,0.94
ND,All,NDAll,9,0.99,0.99,1,1,0.99,0.99
NJ,All,NJAll,Ungraded,1,1,1,1,1,1
DE,All,DEAll,6,0.97,0.97,1,1,0.97,0.97
AZ,All,AZAll,7,0.97,0.97,1,1,0.97,0.97
MT,All,MTAll,4,0.97,0.97,1,1,0.97,0.97
AZ,All,AZAll,Ungraded,1,1,1,1,1,1
DC,All,DCAll,4,0.97,0.97,1,1,0.97,0.97
NE,All,NEAll,7,0.97,0.97,1,1,0.97,0.97
TX,All,TXAll,5,0.97,0.97,1,1,0.97,0.97
MD,All,MDAll,6,0.97,0.97,1,1,0.97,0.97
SD,All,SDAll,9,0.99,0.99,1,1,0.99,0.99
SD,All,SDAll,Ungraded,1,1,1,1,1,1
LA,All,LAAll,Ungraded,1,1,1,1,1,1
HI,All,HIAll,3,0.94,0.94,1,1,0.94,0.94
FL,All,FLAll,8,0.99,0.99,1,1,0.99,0.99
TN,All,TNAll,7,0.97,0.97,1,1,0.97,0.97
IN,All,INAll,3,0.94,0.94,1,1,0.94,0.94
NV,All,NVAll,2,0.94,0.94,1,1,0.94,0.94
AZ,All,AZAll,2,0.94,0.94,1,1,0.94,0.94
OH,All,OHAll,2,0.94,0.94,1,1,0.94,0.94
UT,All,UTAll,1,0.94,0.94,1,1,0.94,0.94
ME,All,MEAll,8,0.99,0.99,1,1,0.99,0.99
VA,All,VAAll,2,0.94,0.94,1,1,0.94,0.94
IN,All,INAll,7,0.97,0.97,1,1,0.97,0.97
GA,All,GAAll,5,0.97,0.97,1,1,0.97,0.97
AL,All,ALAll,Ungraded,1,1,1,1,1,1
TN,All,TNAll,Ungraded,1,1,1,1,1,1
OH,All,OHAll,6,0.97,0.97,1,1,0.97,0.97
AZ,All,AZAll,5,0.97,0.97,1,1,0.97,0.97
AR,All,ARAll,9,0.99,0.99,1,1,0.99,0.99
AZ,All,AZAll,4,0.97,0.97,1,1,0.97,0.97
VT,All,VTAll,4,0.97,0.97,1,1,0.97,0.97
MO,All,MOAll,9,0.99,0.99,1,1,0.99,0.99
PA,All,PAAll,Ungraded,1,1,1,1,1,1
MO,All,MOAll,7,0.97,0.97,1,1,0.97,0.97
WV,All,WVAll,Ungraded,1,1,1,1,1,1
MN,All,MNAll,7,0.97,0.97,1,1,0.97,0.97
VT,All,VTAll,5,0.97,0.97,1,1,0.97,0.97
NJ,All,NJAll,1,0.94,0.94,1,1,0.94,0.94
NC,All,NCAll,10,1,1,1,1,1,1
MS,All,MSAll,8,0.99,0.99,1,1,0.99,0.99
IN,All,INAll,8,0.99,0.99,1,1,0.99,0.99
GA,All,GAAll,6,0.97,0.97,1,1,0.97,0.97
RI,All,RIAll,8,0.99,0.99,1,1,0.99,0.99
SD,All,SDAll,6,0.97,0.97,1,1,0.97,0.97
MS,All,MSAll,10,1,1,1,1,1,1
NC,All,NCAll,6,0.97,0.97,1,1,0.97,0.97
HI,All,HIAll,9,0.99,0.99,1,1,0.99,0.99
MI,All,MIAll,5,0.97,0.97,1,1,0.97,0.97
NV,All,NVAll,Ungraded,1,1,1,1,1,1
WY,All,WYAll,3,0.94,0.94,1,1,0.94,0.94
OK,All,OKAll,3,0.94,0.94,1,1,0.94,0.94
ND,All,NDAll,8,0.99,0.99,1,1,0.99,0.99
WI,All,WIAll,2,0.94,0.94,1,1,0.94,0.94
WI,All,WIAll,10,1,1,1,1,1,1
KS,All,KSAll,3,0.94,0.94,1,1,0.94,0.94
ME,All,MEAll,10,1,1,1,1,1,1
SD,All,SDAll,1,0.94,0.94,1,1,0.94,0.94
CT,All,CTAll,6,0.97,0.97,1,1,0.97,0.97
TX,All,TXAll,10,1,1,1,1,1,1
CA,All,CAAll,5,0.97,0.97,1,1,0.97,0.97
CA,All,CAAll,6,0.97,0.97,1,1,0.97,0.97
CA,All,CAAll,Ungraded,1,1,1,1,1,1
NY,All,NYAll,1,0.94,0.94,1,1,0.94,0.94
LA,All,LAAll,10,1,1,1,1,1,1
SC,All,SCAll,4,0.97,0.97,1,1,0.97,0.97
VA,All,VAAll,6,0.97,0.97,1,1,0.97,0.97
FL,All,FLAll,Ungraded,1,1,1,1,1,1
MO,All,MOAll,6,0.97,0.97,1,1,0.97,0.97
VT,All,VTAll,9,0.99,0.99,1,1,0.99,0.99
UT,All,UTAll,Ungraded,1,1,1,1,1,1
HI,All,HIAll,7,0.97,0.97,1,1,0.97,0.97
MI,All,MIAll,8,0.99,0.99,1,1,0.99,0.99
WY,All,WYAll,Ungraded,1,1,1,1,1,1
MI,All,MIAll,Ungraded,1,1,1,1,1,1
ID,All,IDAll,5,0.97,0.97,1,1,0.97,0.97
KY,All,KYAll,Ungraded,1,1,1,1,1,1
SD,All,SDAll,5,0.97,0.97,1,1,0.97,0.97
IN,All,INAll,5,0.97,0.97,1,1,0.97,0.97
GA,All,GAAll,8,0.99,0.99,1,1,0.99,0.99
OR,All,ORAll,10,1,1,1,1,1,1
NY,All,NYAll,Ungraded,1,1,1,1,1,1
TN,All,TNAll,1,0.94,0.94,1,1,0.94,0.94
NH,All,NHAll,1,0.94,0.94,1,1,0.94,0.94
NJ,All,NJAll,9,0.99,0.99,1,1,0.99,0.99
KY,All,KYAll,10,1,1,1,1,1,1
MO,All,MOAll,10,1,1,1,1,1,1
MI,All,MIAll,7,0.97,0.97,1,1,0.97,0.97
AR,All,ARAll,Ungraded,1,1,1,1,1,1
VT,All,VTAll,3,0.94,0.94,1,1,0.94,0.94
MO,All,MOAll,1,0.94,0.94,1,1,0.94,0.94
IA,All,IAAll,6,0.97,0.97,1,1,0.97,0.97
OR,All,ORAll,5,0.97,0.97,1,1,0.97,0.97
PA,All,PAAll,4,0.97,0.97,1,1,0.97,0.97
ME,All,MEAll,7,0.97,0.97,1,1,0.97,0.97
ID,All,IDAll,9,0.99,0.99,1,1,0.99,0.99
NY,All,NYAll,9,0.99,0.99,1,1,0.99,0.99
AZ,All,AZAll,3,0.94,0.94,1,1,0.94,0.94
AK,All,AKAll,7,0.97,0.97,1,1,0.97,0.97
CT,All,CTAll,1,0.94,0.94,1,1,0.94,0.94
LA,All,LAAll,1,0.94,0.94,1,1,0.94,0.94
AK,All,AKAll,9,0.99,0.99,1,1,0.99,0.99
AR,All,ARAll,4,0.97,0.97,1,1,0.97,0.97
NY,All,NYAll,5,0.97,0.97,1,1,0.97,0.97
DC,All,DCAll,7,0.97,0.97,1,1,0.97,0.97
NM,All,NMAll,5,0.97,0.97,1,1,0.97,0.97
HI,All,HIAll,10,1,1,1,1,1,1
ID,All,IDAll,1,0.94,0.94,1,1,0.94,0.94
SC,All,SCAll,Ungraded,1,1,1,1,1,1
