classCode,ratePremOps,rateProdCops,hrPremOp,hrProdCOps,code,premiumBase
11259,1.94,0.241,0,0,s,1000
59914,0.53,0.58,0,0,s,1000
99471,0.77,0,0,0,p,1000
44434,45.6,0,0,0,a,1000
97002,0.27,0.28,2/A,2/A,p,1000
96408,3.86,13,0,0,p,1000
52440,0.116,0.52,–,3/A,s,1000
18912,2.61,0.032,0,0,s,1000
59223,0.169,0.118,0,0,s,1000
15224,0.82,0.082,0,0,s,1000
12510,0.88,0.027,0,0,s,1000
40059,14.7,0,0,0,t,1
91177,3.95,0,0,0,p,1000
43470,4.37,0,0,0,s,1000
48636,1.5,1.0,–,0,p,1000
18335,0.54,0.017,0,0,s,1000
48558,29.2,0,0,0,t,1
98677,17.6,11.5,0,0,p,1000
11020,0.45,0.212,0,0,s,1000
40026,1.0,1.0,0,–,t,1
57999,0.074,0.055,0,0,s,1000
59773,0.02,0.019,0,0,s,1000
10378,25.6,0,0,0,s,1000
15839,0.42,0.029,0,0,s,1000
51550,0.091,0.36,0,0,s,1000
52315,0.099,0.237,0,0,s,1000
51855,0.34,1.66,–,1/A,s,1000
51300,0.105,0.109,0,0,s,1000
59806,0.208,2.06,–,1/A,s,1000
48039,136,0,0,0,t,1
16694,0.46,1.28,–,2/A,s,1000
16820,1.02,0.15,–,5/A,s,1000
52744,0.44,0.039,0,0,s,1000
15314,0.32,0.36,–,5/A,s,1000
10135,1.0,1.0,0,–,s,1000
52341,0.043,1.5,–,1/A,s,1000
48637,25.6,0,0,0,s,1000
49183,54.3,0,0,0,m,1000
53734,0.43,0,0,0,s,1000
12373,0.038,0.024,0,0,s,1000
41679,1.0,1.0,0,0,t,1
15538,0.56,0.017,0,0,s,1000
48206,79.8,0,0,0,t,1
58904,0.028,0.089,0,0,s,1000
19795,0.45,1.0,–,0,s,1000
53902,1.0,1.0,0,0,s,1000
10040,0.122,0.3,0,0,s,1000
47469,4.14,0,0,0,t,1
14732,0.249,0,0,0,s,1000
13507,1.63,0.168,0,0,s,1000
15406,0.37,0.065,0,0,s,1000
47477,5.52,0,0,0,t,1
14731,3.37,0,0,0,s,1000
51357,0.197,1.18,0,0,s,1000
55715,0.192,0.147,0,0,s,1000
