classCode,coverage,construction,buildingGroup1,buildingGroup2,contentsGroup1,contentsGroup2,abcGroup1,abcGroup2
0077,ABC,"Fire Res",0.0000,0,0,0,0,0
1230,ABC,Frame,0.0000,0,0,0,0,0
0196,ABC,Frame,0.0000,0,0,0,0,0
0951,ABC,"Joisted Masonry",0.0000,0,0,0,0,0
0565,ABC,Frame,0.0000,0,0,0,0,0
4809,ABC,Frame,0.0000,0,0,0,0,0
4809,Contents,Non-Comb.,0.1120,0.112,0.112,0.112,0.112,0.112
0747,Contents,Frame,0.1030,0.103,0.103,0.103,0.103,0.103
0197,ABC,"Mas Non-Comb",0.0000,0,0,0,0,0
0921,Building,Frame,0.1040,0.104,0.104,0.104,0.104,0.104
0846,Building,"Joisted Masonry",0.1740,0.174,0.174,0.174,0.174,0.174
0744,Contents,Non-Comb.,0.2030,0.203,0.203,0.203,0.203,0.203
0832,Contents,Frame,0.1610,0.161,0.161,0.161,0.161,0.161
1000,ABC,"Fire Res",0.0000,0,0,0,0,0
0940,Building,"Joisted Masonry",0.0500,0.05,0.05,0.05,0.05,0.05
0565,Contents,"Mas Non-Comb",0.1160,0.116,0.116,0.116,0.116,0.116
0900,Contents,"Mas Non-Comb",0.0640,0.064,0.064,0.064,0.064,0.064
1000,Building,Frame,0.1550,0.155,0.155,0.155,0.155,0.155
0845,ABC,"Joisted Masonry",0.0000,0,0,0,0,0
2200,Building,"Mas Non-Comb",0.2550,0.255,0.255,0.255,0.255,0.255
0582,Building,"Joisted Masonry",0.1280,0.128,0.128,0.128,0.128,0.128
0841,Building,Frame,0.2100,0.21,0.21,0.21,0.21,0.21
0933,Contents,Frame,0.1120,0.112,0.112,0.112,0.112,0.112
0744,Building,Non-Comb.,0.1740,0.174,0.174,0.174,0.174,0.174
0322,Building,"Fire Res",0.0920,0.092,0.092,0.092,0.092,0.092
1752,Building,Frame,0.0970,0.097,0.097,0.097,0.097,0.097
0933,ABC,"Joisted Masonry",0.0000,0,0,0,0,0
0845,ABC,"Fire Res",0.0000,0,0,0,0,0
0921,Contents,Frame,0.1230,0.123,0.123,0.123,0.123,0.123
0550,ABC,"Joisted Masonry",0.0000,0,0,0,0,0
0563,ABC,"Mas Non-Comb",0.0000,0,0,0,0,0
0512,ABC,"Mas Non-Comb",0.0000,0,0,0,0,0
0756,ABC,Frame,0.0000,0,0,0,0,0
1650,Building,"Mas Non-Comb",0.1270,0.127,0.127,0.127,0.127,0.127
0834,Building,"Joisted Masonry",0.1850,0.185,0.185,0.185,0.185,0.185
0541,ABC,"Mas Non-Comb",0.0000,0,0,0,0,0
0747,Building,"Fire Res",0.0570,0.057,0.057,0.057,0.057,0.057
2200,Building,"Fire Res",0.2340,0.234,0.234,0.234,0.234,0.234
0921,ABC,Non-Comb.,0.0000,0,0,0,0,0
0742,Contents,Frame,0.2390,0.239,0.239,0.239,0.239,0.239
3409,ABC,"Mas Non-Comb",0.0000,0,0,0,0,0
0922,Building,"Mas Non-Comb",0.0750,0.075,0.075,0.075,0.075,0.075
0311,Contents,Frame,0.1150,0.115,0.115,0.115,0.115,0.115
0332,Building,"Mas Non-Comb",0.0360,0.036,0.036,0.036,0.036,0.036
0911,Building,"Mas Non-Comb",0.1310,0.131,0.131,0.131,0.131,0.131
0196,Contents,"Joisted Masonry",0.0810,0.081,0.081,0.081,0.081,0.081
0079,Contents,"Mas Non-Comb",0.0940,0.094,0.094,0.094,0.094,0.094
0341,ABC,Frame,0.1160,0.116,0.116,0.116,0.116,0.116
0832,Contents,"Mas Non-Comb",0.1210,0.121,0.121,0.121,0.121,0.121
0746,Building,"Joisted Masonry",0.0840,0.084,0.084,0.084,0.084,0.084
0900,Building,Frame,0.0820,0.082,0.082,0.082,0.082,0.082
0532,Contents,"Fire Res",0.1610,0.161,0.161,0.161,0.161,0.161
2200,Contents,"Joisted Masonry",0.4170,0.417,0.417,0.417,0.417,0.417
0313,Building,"Joisted Masonry",0.0910,0.091,0.091,0.091,0.091,0.091
0931,Contents,Non-Comb.,0.0730,0.073,0.073,0.073,0.073,0.073
0746,ABC,"Mas Non-Comb",0.0000,0,0,0,0,0
0701,Contents,Frame,0.1780,0.178,0.178,0.178,0.178,0.178
0076,Contents,"Joisted Masonry",0.1190,0.119,0.119,0.119,0.119,0.119
0934,Building,"Fire Res",0.0690,0.069,0.069,0.069,0.069,0.069
0844,ABC,"Mas Non-Comb",0.0000,0,0,0,0,0
0833,Building,Frame,0.1280,0.128,0.128,0.128,0.128,0.128
1000,Building,"Fire Res",0.0930,0.093,0.093,0.093,0.093,0.093
0565,Building,Non-Comb.,0.0970,0.097,0.097,0.097,0.097,0.097
1650,Contents,Non-Comb.,0.2120,0.212,0.212,0.212,0.212,0.212
1212,Building,Frame,0.1210,0.121,0.121,0.121,0.121,0.121
